stock,endDate,accountsPayable,inventory,longTermDebt,netReceivables,netTangibleAssets,longTermInvestments,totalCurrentAssets,propertyPlantEquipment,otherStockholderEquity,deferredLongTermAssetCharges,totalCurrentLiabilities,cash,otherAssets,treasuryStock,goodWill,otherLiab,retainedEarnings,otherCurrentAssets,commonStock,totalAssets,otherCurrentLiab,deferredLongTermLiab,totalStockholderEquity,totalLiab,capitalSurplus,intangibleAssets,shortTermInvestments,shortLongTermDebt,minorityInterest
IVC,2019-12-31,88003000.0,121184000.0,219464000.0,140013000.0,-91334000.0,85000.0,355877000.0,92183000.0,3128000.0,928000.0,218657000.0,80063000.0,4131000.0,-101199000.0,373403000.0,66949000.0,87475000.0,2851000.0,9590000.0,852126000.0,21634000.0,602000.0,308516000.0,543610000.0,312650000.0,26447000.0,,,
IVC,2018-12-31,92469000.0,128644000.0,225733000.0,138476000.0,-48632000.0,90000.0,397410000.0,74306000.0,12793000.0,352000.0,198208000.0,116907000.0,6270000.0,-90640000.0,381273000.0,74965000.0,142447000.0,3221000.0,9421000.0,885855000.0,22750000.0,402000.0,359147000.0,526708000.0,297919000.0,26506000.0,,,
IVC,2017-12-31,90566000.0,121933000.0,241405000.0,143464000.0,-8233000.0,103000.0,456914000.0,80016000.0,36870000.0,518000.0,218064000.0,176528000.0,97473000.0,-64136000.0,401283000.0,183270000.0,187999000.0,4253000.0,9306000.0,1066033000.0,34119000.0,787000.0,423294000.0,642739000.0,290125000.0,30244000.0,,,
IVC,2016-12-31,88236000.0,135644000.0,146088000.0,132707000.0,32762000.0,108000.0,409072000.0,75359000.0,-19335000.0,837000.0,220861000.0,124234000.0,29579000.0,-119065000.0,360602000.0,114407000.0,266144000.0,6446000.0,9157000.0,903743000.0,33800000.0,793000.0,422387000.0,481356000.0,266151000.0,29023000.0,,,
CSLT,2019-12-31,19596000.0,,,31397000.0,68911000.0,,95470000.0,18762000.0,,,54907000.0,43017000.0,24589000.0,,,1785000.0,-455042000.0,,15000.0,242784000.0,18768000.0,21429000.0,172874000.0,69910000.0,627899000.0,,16411000.0,,
CSLT,2018-12-31,9556000.0,,,26816000.0,86677000.0,,107828000.0,3963000.0,,,51178000.0,66005000.0,33729000.0,,,4411000.0,-415040000.0,,14000.0,253514000.0,35647000.0,30275000.0,194671000.0,58843000.0,609697000.0,,11327000.0,,
CSLT,2017-12-31,3907000.0,,,21933000.0,99519000.0,,119268000.0,5263000.0,,,57011000.0,61319000.0,43314000.0,,,6357000.0,-375334000.0,,13000.0,279883000.0,39163000.0,39992000.0,211557000.0,68326000.0,586900000.0,,32025000.0,,
CSLT,2016-12-31,2288000.0,,,14806000.0,101962000.0,,141010000.0,5285000.0,,,48723000.0,48722000.0,10871000.0,,,6481000.0,-355644000.0,,10000.0,157166000.0,36992000.0,5050000.0,101962000.0,55204000.0,457596000.0,,65882000.0,,
LPX,2019-12-31,112000000.0,265000000.0,347000000.0,164000000.0,941000000.0,10000000.0,619000000.0,1072000000.0,-153000000.0,1000000.0,244000000.0,181000000.0,84000000.0,-559000000.0,30000000.0,206000000.0,966000000.0,,130000000.0,1835000000.0,17000000.0,,991000000.0,834000000.0,454000000.0,,,,
LPX,2018-12-31,94000000.0,273000000.0,346000000.0,128000000.0,1674000000.0,49000000.0,1287000000.0,1072000000.0,-146000000.0,4000000.0,262000000.0,878000000.0,80000000.0,-524000000.0,16000000.0,205000000.0,1613000000.0,,153000000.0,2514000000.0,45000000.0,,1700000000.0,814000000.0,458000000.0,,,,
