stock,endDate,accountsPayable,inventory,longTermDebt,netReceivables,netTangibleAssets,longTermInvestments,totalCurrentAssets,propertyPlantEquipment,otherStockholderEquity,deferredLongTermAssetCharges,totalCurrentLiabilities,cash,otherAssets,treasuryStock,goodWill,otherLiab,retainedEarnings,otherCurrentAssets,commonStock,totalAssets,otherCurrentLiab,deferredLongTermLiab,totalStockholderEquity,totalLiab,capitalSurplus,intangibleAssets,shortTermInvestments,shortLongTermDebt,minorityInterest
IVC,2020-03-31,90614000.0,119285000.0,165026000.0,142446000.0,-94616000.0,86000.0,376663000.0,88897000.0,-1377000.0,1057000.0,296582000.0,98932000.0,4260000.0,-106478000.0,372911000.0,67829000.0,87550000.0,3132000.0,9817000.0,869034000.0,23496000.0,552000.0,304512000.0,564522000.0,313623000.0,26217000.0,,,
IVC,2019-12-31,88003000.0,121184000.0,219464000.0,140013000.0,-91334000.0,85000.0,355877000.0,92183000.0,3128000.0,928000.0,218657000.0,80063000.0,4131000.0,-101199000.0,373403000.0,66949000.0,87475000.0,2851000.0,9590000.0,852126000.0,21634000.0,602000.0,308516000.0,543610000.0,312650000.0,26447000.0,,,
IVC,2019-09-30,89736000.0,123069000.0,222281000.0,132920000.0,-80939000.0,86000.0,356777000.0,90818000.0,210000.0,701000.0,202199000.0,85040000.0,3306000.0,-104083000.0,371694000.0,67443000.0,106569000.0,4471000.0,9590000.0,847405000.0,21193000.0,112000.0,315479000.0,531926000.0,303403000.0,24724000.0,,,
IVC,2019-06-30,86051000.0,124686000.0,233435000.0,139827000.0,-71186000.0,86000.0,367977000.0,92825000.0,9771000.0,580000.0,193854000.0,89511000.0,3583000.0,-94522000.0,377551000.0,67211000.0,115025000.0,3972000.0,9590000.0,867583000.0,20666000.0,208000.0,331926000.0,535657000.0,301833000.0,25561000.0,,,
CSLT,2020-03-31,13299000.0,,930000.0,38073000.0,67507000.0,,87019000.0,19157000.0,13000.0,,47209000.0,37681000.0,21917000.0,13000.0,41485000.0,1829000.0,-511377000.0,,15000.0,180682000.0,13730000.0,18873000.0,120096000.0,60586000.0,631445000.0,11104000.0,6009000.0,1859000.0,
CSLT,2019-12-31,19596000.0,,1395000.0,31397000.0,68911000.0,,95470000.0,18762000.0,2000.0,,54907000.0,43017000.0,24589000.0,2000.0,91785000.0,1785000.0,-455042000.0,,15000.0,242784000.0,18768000.0,21429000.0,172874000.0,69910000.0,627899000.0,12178000.0,16411000.0,1859000.0,
CSLT,2019-09-30,11989000.0,,1860000.0,35442000.0,75261000.0,,95971000.0,16669000.0,7000.0,,52111000.0,36040000.0,29115000.0,7000.0,91785000.0,1949000.0,-443296000.0,,15000.0,246793000.0,17509000.0,25671000.0,180299000.0,66494000.0,623573000.0,13253000.0,19977000.0,1859000.0,
CSLT,2019-06-30,11355000.0,,2324000.0,32611000.0,80268000.0,,101987000.0,18247000.0,7000.0,,54303000.0,50052000.0,30597000.0,7000.0,91785000.0,1904000.0,-433960000.0,,14000.0,257073000.0,20698000.0,27049000.0,186510000.0,70563000.0,620449000.0,14457000.0,13874000.0,1859000.0,
LPX,2020-03-31,208000000.0,284000000.0,697000000.0,172000000.0,931000000.0,12000000.0,976000000.0,1029000000.0,-175000000.0,,214000000.0,488000000.0,62000000.0,-577000000.0,30000000.0,192000000.0,983000000.0,,130000000.0,2132000000.0,4000000.0,,984000000.0,1138000000.0,448000000.0,23000000.0,,,10000000.0
LPX,2019-12-31,112000000.0,265000000.0,347000000.0,164000000.0,941000000.0,10000000.0,619000000.0,1072000000.0,-153000000.0,,244000000.0,181000000.0,84000000.0,-559000000.0,30000000.0,206000000.0,966000000.0,,130000000.0,1835000000.0,17000000.0,,991000000.0,834000000.0,454000000.0,20000000.0,,,10000000.0
LPX,2019-09-30,202000000.0,260000000.0,347000000.0,183000000.0,1159000000.0,10000000.0,761000000.0,1136000000.0,-152000000.0,,216000000.0,304000000.0,82000000.0,-560000000.0,30000000.0,221000000.0,1185000000.0,,135000000.0,2043000000.0,2000000.0,,1213000000.0,818000000.0,453000000.0,24000000.0,,,12000000.0
LPX,2019-06-30,213000000.0,293000000.0,347000000.0,177000000.0,1227000000.0,9000000.0,829000000.0,1115000000.0,-142000000.0,,229000000.0,348000000.0,86000000.0,-552000000.0,30000000.0,208000000.0,1315000000.0,,141000000.0,2090000000.0,5000000.0,,1278000000.0,799000000.0,374000000.0,21000000.0,,,13000000.0
GDYN,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDYN,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDYN,2019-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDYN,2018-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARA,2020-03-31,57253000.0,7574000.0,573225000.0,120202000.0,-649479000.0,,252683000.0,286750000.0,-4104000.0,,203079000.0,62379000.0,21725000.0,-4104000.0,538609000.0,10911000.0,-185475000.0,49197000.0,199000.0,1124046000.0,49804000.0,,-86591000.0,922559000.0,102789000.0,24279000.0,,39845000.0,288078000.0
ARA,2019-12-31,49539000.0,7752000.0,542170000.0,114685000.0,-642545000.0,,220014000.0,285074000.0,-2150000.0,,190935000.0,34494000.0,18608000.0,-2150000.0,538609000.0,11482000.0,-178241000.0,50099000.0,197000.0,1086791000.0,42577000.0,,-79450000.0,875769000.0,100744000.0,24486000.0,,39172000.0,290472000.0
ARA,2019-09-30,58054000.0,7997000.0,546727000.0,117809000.0,-676539000.0,,212435000.0,295666000.0,-2299000.0,,211262000.0,60190000.0,9067000.0,-2299000.0,576082000.0,15265000.0,-178331000.0,13292000.0,197000.0,1117945000.0,51914000.0,,-75762000.0,908850000.0,104671000.0,24695000.0,,41054000.0,284857000.0
ARA,2019-06-30,57648000.0,7249000.0,561929000.0,121684000.0,-684631000.0,,230079000.0,298625000.0,-1853000.0,,222613000.0,69060000.0,15570000.0,-1853000.0,578237000.0,16336000.0,-183108000.0,15539000.0,197000.0,1147423000.0,63466000.0,,-81482000.0,934174000.0,103282000.0,24912000.0,,44048000.0,294731000.0
MBOT,2020-03-31,204000.0,,,,29678000.0,,30103000.0,1195000.0,,,927000.0,29585000.0,,,,,-37316000.0,76000.0,71000.0,31298000.0,,,29678000.0,1620000.0,66923000.0,,,,
MBOT,2019-12-31,284000.0,,,,31540000.0,,35936000.0,1190000.0,,,4826000.0,28771000.0,,,,,-35111000.0,4358000.0,72000.0,37126000.0,,,31540000.0,5586000.0,69954000.0,,,,
MBOT,2019-09-30,282000.0,,,,6403000.0,,10487000.0,636000.0,,,4589000.0,3548000.0,,,,,-33241000.0,4250000.0,43000.0,11123000.0,,,6403000.0,4720000.0,42976000.0,,,,
